,ID,answ,c_count,c_gend,c_len,c_pow,dif_cand_disc,dif_disc_both,dif_minus5,dif_plus5,dist,dist_in_char,is_punct,same_count,same_gend,t_count,t_gend,target
0,1.0,0.0,p,f,4.0,N,0.6634133526531162,0.99290707188764,0.8748179995033168,0.8016860912864698,1.0,5.0,1.0,1.0,0.0,p,-,они
1,1.0,0.0,p,m,10.0,A,0.5772539991614994,0.9710500778245257,0.7364355676315998,0.19168735773237966,2.0,15.0,1.0,1.0,0.0,p,-,они
2,1.0,1.0,p,m,6.0,N,0.5804603372197645,0.9446591653963009,0.5432598412095022,0.2994626138819845,3.0,21.0,1.0,1.0,0.0,p,-,они
3,1.0,0.0,p,m,5.0,A,0.6275960808871933,0.9148935735799186,0.4670145832497157,0.2532291143923243,4.0,26.0,1.0,1.0,0.0,p,-,они
4,1.0,0.0,s,f,4.0,N,0.3381364552525488,0.9058003891972429,0.5718862298488634,0.3316045833003415,5.0,31.0,1.0,0.0,0.0,p,-,они
5,1.0,0.0,-,-,6.0,S,0.0,0.9040440435036168,0.6463638079780685,0.3464012835380835,6.0,37.0,1.0,0.0,0.0,p,-,они
6,1.0,0.0,s,m,7.0,N,0.6899639166457006,0.869259123876313,0.6648123476534626,0.35713601912572257,7.0,45.0,1.0,0.0,0.0,p,-,они
7,1.0,0.0,-,-,3.0,S,0.0,0.869259123876313,0.664124894560245,0.36321056526284456,8.0,48.0,1.0,0.0,0.0,p,-,они
8,1.0,0.0,-,-,9.0,V,0.6320908467477157,0.8281495040139109,0.6275256865404519,0.3859362991532349,9.0,57.0,1.0,0.0,0.0,p,-,они
9,1.0,0.0,-,-,2.0,Q,0.0,0.8281495040139109,0.6275256865404519,0.42561064447771957,10.0,59.0,1.0,0.0,0.0,p,-,они
10,1.0,0.0,s,n,6.0,N,0.7382326936832855,0.8135692511797686,0.6015382913222183,0.482285509916327,11.0,65.0,1.0,0.0,0.0,p,-,они
11,1.0,0.0,-,-,2.0,C,0.0,0.7814023746355823,0.6015382913222183,0.514156277747996,12.0,67.0,1.0,0.0,0.0,p,-,они
