,answ,c_count,c_gend,c_pow,dif_cand_disc,dist,is_punct,same_count,same_gend,t_count,t_gend,target
0,0.0,p,f,N,0.6138824317353437,1.0,1.0,1.0,0.0,p,-,они
1,0.0,p,m,A,0.5382477584696512,2.0,1.0,1.0,0.0,p,-,они
2,1.0,p,m,N,0.5625368559816069,3.0,1.0,1.0,0.0,p,-,они
3,0.0,p,m,A,0.6091437621305695,4.0,1.0,1.0,0.0,p,-,они
4,0.0,s,f,N,0.3005000634934678,5.0,1.0,0.0,0.0,p,-,они
5,0.0,-,-,S,0.0,6.0,1.0,0.0,0.0,p,-,они
6,0.0,s,m,N,0.7312214063187197,7.0,1.0,0.0,0.0,p,-,они
7,0.0,-,-,S,0.0,8.0,1.0,0.0,0.0,p,-,они
8,0.0,-,-,V,0.5863740815973726,9.0,1.0,0.0,0.0,p,-,они
9,0.0,-,-,Q,0.0,10.0,1.0,0.0,0.0,p,-,они
10,0.0,s,n,N,0.7071208742887338,11.0,1.0,0.0,0.0,p,-,они
11,0.0,-,-,C,0.0,12.0,1.0,0.0,0.0,p,-,они
12,0.0,s,f,N,0.6808067307847585,13.0,1.0,0.0,0.0,p,-,они
13,0.0,s,m,N,0.7482902186782283,14.0,1.0,0.0,0.0,p,-,они
14,0.0,-,-,Q,0.0,15.0,1.0,0.0,0.0,p,-,они
15,0.0,-,-,C,0.0,16.0,1.0,0.0,0.0,p,-,они
16,0.0,-,-,V,0.0,17.0,1.0,0.0,0.0,p,-,они
17,0.0,-,-,R,0.5438092799058023,18.0,1.0,0.0,0.0,p,-,они
18,0.0,-,-,V,0.0,19.0,1.0,0.0,0.0,p,-,они
19,0.0,-,-,P,0.0,20.0,1.0,0.0,0.0,p,-,они
20,0.0,s,f,P,0.0,21.0,1.0,0.0,0.0,p,-,они
21,0.0,s,f,N,0.5438849240181475,22.0,1.0,0.0,0.0,p,-,они
22,0.0,s,f,A,0.3983290147597465,23.0,1.0,0.0,0.0,p,-,они
23,0.0,s,f,A,-0.0018498409783492577,24.0,1.0,0.0,0.0,p,-,они
24,0.0,-,-,S,0.0,25.0,1.0,0.0,0.0,p,-,они
25,0.0,p,m,A,0.0,1.0,0.0,1.0,0.0,p,-,они
26,0.0,-,-,C,0.0,2.0,0.0,0.0,0.0,p,-,они
27,1.0,p,m,N,0.5654878820026269,3.0,1.0,1.0,0.0,p,-,они
28,0.0,-,-,V,0.4892637513373735,4.0,1.0,0.0,0.0,p,-,они
29,0.0,-,-,P,0.0,5.0,1.0,0.0,0.0,p,-,они
30,0.0,-,-,C,0.0,6.0,1.0,0.0,0.0,p,-,они
31,0.0,s,-,P,0.0,7.0,1.0,0.0,0.0,p,-,они
32,0.0,-,-,V,0.0,8.0,1.0,0.0,0.0,p,-,они
33,0.0,-,-,R,0.0,9.0,1.0,0.0,0.0,p,-,они
34,0.0,-,-,R,0.0,10.0,1.0,0.0,0.0,p,-,они
35,0.0,s,n,P,0.0,11.0,1.0,0.0,0.0,p,-,они
36,0.0,s,n,A,0.3500734216576201,12.0,1.0,0.0,0.0,p,-,они
37,0.0,-,-,S,0.0,13.0,1.0,0.0,0.0,p,-,они
38,0.0,s,f,N,0.6330587141448776,14.0,1.0,0.0,0.0,p,-,они
39,0.0,s,f,A,0.525329948468911,15.0,1.0,0.0,0.0,p,-,они
40,0.0,-,-,Q,0.0,16.0,1.0,0.0,0.0,p,-,они
41,0.0,s,f,P,0.0,17.0,1.0,0.0,0.0,p,-,они
42,0.0,-,-,V,0.2393881766794615,18.0,1.0,0.0,0.0,p,-,они
43,0.0,s,m,N,0.40582979155282956,19.0,1.0,0.0,0.0,p,-,они
44,0.0,-,-,S,0.0,20.0,1.0,0.0,0.0,p,-,они
45,0.0,-,-,C,0.0,21.0,1.0,0.0,0.0,p,-,они
46,0.0,-,-,V,0.0,22.0,1.0,0.0,0.0,p,-,они
47,0.0,-,-,V,0.0,23.0,1.0,0.0,0.0,p,-,они
48,0.0,s,-,P,0.0,24.0,1.0,0.0,0.0,p,-,они
49,0.0,p,n,N,0.1773063601371342,25.0,1.0,1.0,0.0,p,-,они
50,0.0,-,-,C,0.0,1.0,0.0,0.0,0.0,s,m,он
51,0.0,-,-,R,0.5562769145179485,2.0,0.0,0.0,0.0,s,m,он
52,0.0,-,-,C,0.0,3.0,0.0,0.0,0.0,s,m,он
53,0.0,s,f,N,0.19837485022527482,4.0,1.0,1.0,0.0,s,m,он
54,0.0,s,f,P,0.0,5.0,1.0,1.0,0.0,s,m,он
55,0.0,-,-,V,0.23638574298777448,6.0,1.0,0.0,0.0,s,m,он
56,0.0,-,-,R,0.0,7.0,1.0,0.0,0.0,s,m,он
57,1.0,s,m,N,0.3407039004453343,8.0,1.0,1.0,1.0,s,m,он
58,0.0,-,-,C,0.0,9.0,1.0,0.0,0.0,s,m,он
59,0.0,-,-,R,0.0,10.0,1.0,0.0,0.0,s,m,он
60,0.0,s,f,N,0.30224372999381,11.0,1.0,1.0,0.0,s,m,он
61,0.0,-,-,S,0.0,12.0,1.0,0.0,0.0,s,m,он
62,0.0,-,-,R,0.19454053414269512,13.0,1.0,0.0,0.0,s,m,он
63,0.0,s,m,N,0.3786967178423516,14.0,1.0,1.0,1.0,s,m,он
64,0.0,s,m,A,0.0,15.0,1.0,1.0,1.0,s,m,он
65,0.0,-,-,S,0.0,16.0,1.0,0.0,0.0,s,m,он
66,0.0,-,-,V,0.0,17.0,1.0,0.0,0.0,s,m,он
67,0.0,s,f,N,0.5326578986557238,18.0,1.0,1.0,0.0,s,m,он
68,0.0,-,-,Q,0.0,19.0,1.0,0.0,0.0,s,m,он
69,0.0,-,-,C,0.0,20.0,1.0,0.0,0.0,s,m,он
70,0.0,s,m,N,0.49467171589930947,21.0,1.0,1.0,1.0,s,m,он
71,0.0,s,n,N,0.4575195897892771,22.0,1.0,1.0,0.0,s,m,он
72,0.0,s,n,A,0.22769881243756995,23.0,1.0,1.0,0.0,s,m,он
73,0.0,-,-,S,0.0,24.0,1.0,0.0,0.0,s,m,он
74,0.0,p,m,N,0.572292010459452,25.0,1.0,0.0,1.0,s,m,он
75,0.0,s,m,P,0.0,1.0,0.0,1.0,0.0,s,f,она
76,0.0,-,-,R,0.2053647020989013,2.0,0.0,0.0,0.0,s,f,она
77,0.0,-,-,C,0.0,3.0,0.0,0.0,0.0,s,f,она
78,0.0,-,-,R,0.5238397833986862,4.0,0.0,0.0,0.0,s,f,она
79,0.0,-,-,C,0.0,5.0,0.0,0.0,0.0,s,f,она
80,1.0,s,f,N,0.17816411750904157,6.0,1.0,1.0,1.0,s,f,она
81,0.0,s,f,P,0.0,7.0,1.0,1.0,1.0,s,f,она
82,0.0,-,-,V,0.24810406948917468,8.0,1.0,0.0,0.0,s,f,она
83,0.0,-,-,R,0.0,9.0,1.0,0.0,0.0,s,f,она
84,0.0,s,m,N,0.36949218572084175,10.0,1.0,1.0,0.0,s,f,она
85,0.0,-,-,C,0.0,11.0,1.0,0.0,0.0,s,f,она
86,0.0,-,-,R,0.0,12.0,1.0,0.0,0.0,s,f,она
87,0.0,s,f,N,0.3212849280347412,13.0,1.0,1.0,1.0,s,f,она
88,0.0,-,-,S,0.0,14.0,1.0,0.0,0.0,s,f,она
89,0.0,-,-,R,0.2322907363096849,15.0,1.0,0.0,0.0,s,f,она
90,0.0,s,m,N,0.395173006255707,16.0,1.0,1.0,0.0,s,f,она
91,0.0,s,m,A,0.0,17.0,1.0,1.0,0.0,s,f,она
